   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing FakeInvestigation.C+...
Begin Fake Investigation
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 12, 11048, 78, 104.74
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 13, 11077, 78, 104.879
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 14, 11091, 78, 104.945
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0, 126250, 2.4, 15, 11100, 78, 104.988

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 15, 104.988
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 7, 9864, 102, 98.8081
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 8, 10389, 110, 101.391
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 9, 10759, 115, 103.176
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 10, 10991, 118, 104.28
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 11, 11149, 125, 105.002
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 12, 11237, 125, 105.42
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 13, 11301, 126, 105.718
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 14, 11360, 127, 105.992
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2, 15, 11390, 128, 106.129
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 7, 10108, 106, 100.015
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 8, 10623, 116, 102.51
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 9, 10994, 118, 104.294
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 10, 11232, 123, 105.406
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 11, 11375, 129, 106.054
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 12, 11466, 129, 106.482
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 13, 11523, 131, 106.74
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 14, 11586, 131, 107.035
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.1, 15, 11612, 132, 107.152
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 7, 10283, 109, 100.872
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 8, 10813, 122, 103.404
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 9, 11185, 124, 105.178
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 10, 11412, 128, 106.233
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 11, 11558, 133, 106.895
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 12, 11648, 135, 107.306
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 13, 11709, 135, 107.59
